timestamp,tx,ty,tz,rx,ry,rz,Distance,Angle X,Angle Y,Angle Z
12:45:19:997,err,err,err,err,err,err,err,err,err,err
12:45:20:196,err,err,err,err,err,err,err,err,err,err
12:45:20:358,err,err,err,err,err,err,err,err,err,err
12:45:20:537,10.018894867128392,4.702788964537716,509.62882055424166,-0.17163415309591445,0.0026368117673180452,0.0019613815507631433,509.74898648051374,-10,0,0
12:45:20:676,err,err,err,err,err,err,err,err,err,err
12:45:20:795,err,err,err,err,err,err,err,err,err,err
12:45:20:909,err,err,err,err,err,err,err,err,err,err
12:45:21:028,err,err,err,err,err,err,err,err,err,err
12:45:21:151,err,err,err,err,err,err,err,err,err,err
12:45:21:275,err,err,err,err,err,err,err,err,err,err
12:45:21:397,err,err,err,err,err,err,err,err,err,err
12:45:21:524,err,err,err,err,err,err,err,err,err,err
12:45:21:642,err,err,err,err,err,err,err,err,err,err
12:45:21:766,err,err,err,err,err,err,err,err,err,err
12:45:21:889,err,err,err,err,err,err,err,err,err,err
12:45:22:010,err,err,err,err,err,err,err,err,err,err
12:45:22:179,err,err,err,err,err,err,err,err,err,err
12:45:22:304,err,err,err,err,err,err,err,err,err,err
12:45:22:425,err,err,err,err,err,err,err,err,err,err
12:45:22:547,err,err,err,err,err,err,err,err,err,err
12:45:22:668,err,err,err,err,err,err,err,err,err,err
12:45:22:793,err,err,err,err,err,err,err,err,err,err
12:45:22:917,9.927876924886128,4.683418664975326,507.91070157885343,-0.19707299302370104,0.09302566791210283,0.008559887389699063,508.02930813974723,-11,5,0
12:45:23:036,err,err,err,err,err,err,err,err,err,err
12:45:23:173,err,err,err,err,err,err,err,err,err,err
12:45:23:284,10.037539853642306,4.769710373763895,513.942812801266,0.0021012733198865832,-0.14142369395622098,0.004419533278227714,514.06295059403,0,-8,0
12:45:23:451,err,err,err,err,err,err,err,err,err,err
12:45:23:569,err,err,err,err,err,err,err,err,err,err
12:45:23:695,err,err,err,err,err,err,err,err,err,err
12:45:23:815,err,err,err,err,err,err,err,err,err,err
12:45:23:936,err,err,err,err,err,err,err,err,err,err
12:45:24:063,err,err,err,err,err,err,err,err,err,err
12:45:24:182,err,err,err,err,err,err,err,err,err,err
12:45:24:311,err,err,err,err,err,err,err,err,err,err
12:45:24:427,err,err,err,err,err,err,err,err,err,err
12:45:24:560,err,err,err,err,err,err,err,err,err,err
12:45:24:679,err,err,err,err,err,err,err,err,err,err
12:45:24:799,err,err,err,err,err,err,err,err,err,err
12:45:24:964,err,err,err,err,err,err,err,err,err,err
12:45:25:085,err,err,err,err,err,err,err,err,err,err
12:45:25:251,9.935556147827636,4.717650446739557,510.9734234284464,-0.16676713679667282,0.10000896647965749,0.00798273571606315,511.09178329522246,-10,6,0
12:45:25:458,err,err,err,err,err,err,err,err,err,err
12:45:25:579,err,err,err,err,err,err,err,err,err,err
12:45:25:700,9.57437504398447,4.637775380168023,492.06676961764884,0.03656990166247374,-0.16346874523375696,0.0069360510622500475,492.18175847943417,2,-9,0
12:45:25:824,err,err,err,err,err,err,err,err,err,err
