epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1341,1.0306,4.6295,1.16416,0.00115,0.02273,0.00071,0.00044,0.97251,4.67382,1.20998,1.428e-05,1.428e-05,1.428e-05
2,34.4273,1.01389,4.55012,1.1143,0.00145,0.02273,0.00148,0.0008,0.87984,4.56093,1.07179,3.55233e-05,3.55233e-05,3.55233e-05
3,49.8078,0.9146,4.39776,1.02585,0.00379,0.03409,0.00765,0.00356,0.89343,4.50335,0.97324,5.65545e-05,5.65545e-05,5.65545e-05
4,65.1235,0.8608,4.22169,0.97072,0.00636,0.05682,0.0204,0.01416,0.83338,4.44166,0.91201,7.73737e-05,7.73737e-05,7.73737e-05
5,80.6068,0.83127,3.98171,0.9337,0.00559,0.05682,0.02651,0.01846,0.73131,4.40934,0.86725,9.79808e-05,9.79808e-05,9.79808e-05
6,95.9685,0.90605,3.69474,0.9245,0.00544,0.05682,0.03431,0.01895,0.73043,4.37316,0.85991,0.000118376,0.000118376,0.000118376
7,111.314,0.95769,3.54555,0.92567,0.00526,0.04545,0.03792,0.0258,0.68838,4.3167,0.84387,0.000138559,0.000138559,0.000138559
8,126.591,0.90122,3.27906,0.91898,0.00573,0.05682,0.0445,0.03339,0.67561,4.27525,0.84293,0.00015853,0.00015853,0.00015853
9,141.971,0.82687,3.00617,0.90546,1,0.01932,0.06539,0.05041,0.71479,4.13136,0.84498,0.000178289,0.000178289,0.000178289
10,157.329,0.86806,2.78545,0.90186,1,0.028,0.08489,0.06576,0.73744,4.04378,0.8452,0.000197835,0.000197835,0.000197835
11,172.702,0.77104,2.47586,0.88376,1,0.05555,0.12005,0.09835,0.78392,3.82309,0.84462,0.00021717,0.00021717,0.00021717
12,188.105,0.81213,2.43596,0.87857,1,0.06599,0.15411,0.12454,0.79137,3.72306,0.84384,0.000236293,0.000236293,0.000236293
13,203.515,0.77525,2.17981,0.88421,0.98227,0.05682,0.18475,0.15721,0.74839,3.59449,0.83518,0.000255204,0.000255204,0.000255204
14,218.812,0.69878,2.03138,0.87025,0.03883,0.42045,0.18868,0.15694,0.76642,3.57484,0.84275,0.000273902,0.000273902,0.000273902
15,234.114,0.76405,2.08897,0.86925,0.04191,0.47727,0.21397,0.17949,0.79078,3.429,0.84359,0.000292389,0.000292389,0.000292389
16,249.454,0.72676,1.89891,0.86016,0.04274,0.51136,0.23368,0.19955,0.76461,3.37509,0.84207,0.000310663,0.000310663,0.000310663
17,264.788,0.70593,1.80194,0.8721,0.0503,0.69318,0.3141,0.25603,0.72462,3.26526,0.84109,0.000328726,0.000328726,0.000328726
18,280.047,0.82463,1.947,0.87013,0.05356,0.72727,0.35636,0.2888,0.73722,3.25045,0.84624,0.000346576,0.000346576,0.000346576
19,295.274,0.77565,1.74476,0.86847,0.04853,0.72727,0.37948,0.30542,0.7536,3.2478,0.84996,0.000364214,0.000364214,0.000364214
20,310.57,0.74021,1.76267,0.88913,0.048,0.73864,0.36729,0.30611,0.78875,3.18361,0.85345,0.00038164,0.00038164,0.00038164
21,325.839,0.70118,1.73305,0.88077,0.04317,0.72727,0.3761,0.31494,0.78439,3.08374,0.84982,0.000398855,0.000398855,0.000398855
22,341.147,0.73325,1.67086,0.86307,0.81592,0.18463,0.40674,0.34327,0.73214,2.98249,0.84065,0.000415857,0.000415857,0.000415857
23,356.408,0.70545,1.61972,0.84696,1,0.06909,0.47503,0.39747,0.69588,2.81997,0.83135,0.000432647,0.000432647,0.000432647
24,371.746,0.74872,1.51993,0.84439,0.8012,0.13781,0.55923,0.44741,0.71907,2.62612,0.83171,0.000449225,0.000449225,0.000449225
25,387.001,0.68978,1.48462,0.83997,0.8242,0.27586,0.59601,0.46373,0.7765,2.42095,0.83762,0.000465591,0.000465591,0.000465591
26,402.295,0.63868,1.49952,0.84277,0.8629,0.34788,0.63054,0.50078,0.76068,2.30069,0.83918,0.000481745,0.000481745,0.000481745
27,417.596,0.76104,1.42399,0.85812,0.78926,0.33367,0.59504,0.49594,0.67304,2.2982,0.8339,0.000497687,0.000497687,0.000497687
28,432.847,0.66162,1.42839,0.85687,0.78241,0.28113,0.5895,0.49431,0.64842,2.36934,0.83419,0.000513416,0.000513416,0.000513416
29,448.034,0.65172,1.39445,0.84571,0.78241,0.28113,0.5895,0.49431,0.64842,2.36934,0.83419,0.000528934,0.000528934,0.000528934
30,463.281,0.66365,1.38983,0.86548,0.80936,0.27686,0.62929,0.52081,0.65858,2.3546,0.83716,0.00054424,0.00054424,0.00054424
31,478.508,0.70187,1.4411,0.8714,0.73181,0.36978,0.6603,0.51834,0.70459,2.17505,0.83587,0.000559333,0.000559333,0.000559333
32,493.807,0.67524,1.38201,0.85996,0.58241,0.51406,0.66772,0.53436,0.70468,1.99027,0.83111,0.000574215,0.000574215,0.000574215
33,509.2,0.61927,1.31424,0.84961,0.58241,0.51406,0.66772,0.53436,0.70468,1.99027,0.83111,0.000588884,0.000588884,0.000588884
34,524.435,0.67121,1.35502,0.84852,0.56478,0.60712,0.68369,0.55716,0.65121,1.92741,0.82564,0.000597368,0.000597368,0.000597368
35,539.726,0.67107,1.33798,0.84475,0.60253,0.62452,0.69114,0.56935,0.6124,1.91236,0.82202,0.000593834,0.000593834,0.000593834
36,555.005,0.67502,1.36537,0.85505,0.59375,0.68755,0.69544,0.57078,0.62734,1.83123,0.82289,0.0005903,0.0005903,0.0005903
37,570.269,0.63018,1.28496,0.85523,0.59375,0.68755,0.69544,0.57078,0.62734,1.83123,0.82289,0.000586765,0.000586765,0.000586765
38,585.625,0.64478,1.26001,0.85134,0.59079,0.71138,0.70032,0.56838,0.65513,1.75096,0.82303,0.000583231,0.000583231,0.000583231
39,600.876,0.63228,1.26631,0.83891,0.57339,0.75265,0.70049,0.58079,0.60421,1.66071,0.81995,0.000579697,0.000579697,0.000579697
40,616.254,0.6587,1.23411,0.84638,0.59019,0.76132,0.70411,0.59116,0.56273,1.65083,0.81477,0.000576162,0.000576162,0.000576162
41,631.42,0.581,1.19456,0.85058,0.59019,0.76132,0.70411,0.59116,0.56273,1.65083,0.81477,0.000572628,0.000572628,0.000572628
42,646.514,0.59175,1.14308,0.8318,0.59869,0.64117,0.68577,0.57117,0.59426,1.81451,0.81773,0.000569094,0.000569094,0.000569094
43,661.478,0.59636,1.25082,0.85972,0.55841,0.52311,0.68506,0.56217,0.6328,1.90527,0.82097,0.000565559,0.000565559,0.000565559
44,676.722,0.56569,1.22646,0.8411,0.57565,0.57976,0.6831,0.56224,0.64102,1.81269,0.82029,0.000562025,0.000562025,0.000562025
45,691.856,0.62223,1.1714,0.84243,0.57565,0.57976,0.6831,0.56224,0.64102,1.81269,0.82029,0.000558491,0.000558491,0.000558491
46,707.106,0.59858,1.17649,0.8324,0.57715,0.67489,0.68224,0.56798,0.58948,1.67803,0.81602,0.000554956,0.000554956,0.000554956
47,722.335,0.56443,1.13708,0.8323,0.60105,0.7651,0.71291,0.59292,0.58655,1.67975,0.81382,0.000551422,0.000551422,0.000551422
48,737.639,0.60617,1.18571,0.8631,0.62538,0.78469,0.72166,0.60342,0.59641,1.63726,0.81327,0.000547888,0.000547888,0.000547888
49,752.811,0.57242,1.14637,0.83315,0.62538,0.78469,0.72166,0.60342,0.59641,1.63726,0.81327,0.000544354,0.000544354,0.000544354
50,768.069,0.62026,1.1622,0.8394,0.61345,0.73295,0.72998,0.61809,0.57469,1.69188,0.81437,0.000540819,0.000540819,0.000540819
51,783.276,0.54355,1.17719,0.82511,0.61917,0.73547,0.7243,0.61704,0.57257,1.55204,0.81411,0.000537285,0.000537285,0.000537285
52,798.444,0.59896,1.1088,0.85315,0.59183,0.7275,0.72565,0.61902,0.5751,1.4987,0.81377,0.000533751,0.000533751,0.000533751
53,813.668,0.59157,1.16495,0.83024,0.59183,0.7275,0.72565,0.61902,0.5751,1.4987,0.81377,0.000530216,0.000530216,0.000530216
54,828.921,0.57575,1.12807,0.83778,0.61211,0.80076,0.74514,0.63037,0.59042,1.48476,0.81578,0.000526682,0.000526682,0.000526682
55,844.114,0.53674,1.07937,0.83231,0.61787,0.8624,0.79329,0.67013,0.58105,1.36915,0.81632,0.000523148,0.000523148,0.000523148
56,859.398,0.5431,1.06723,0.82947,0.61676,0.90228,0.80982,0.69905,0.54188,1.20398,0.8129,0.000519613,0.000519613,0.000519613
57,874.65,0.54541,1.0996,0.83277,0.61676,0.90228,0.80982,0.69905,0.54188,1.20398,0.8129,0.000516079,0.000516079,0.000516079
58,889.902,0.4972,1.0582,0.82478,0.67387,0.84091,0.81155,0.70419,0.53132,1.13634,0.8082,0.000512545,0.000512545,0.000512545
59,905.144,0.5427,1.10993,0.83348,0.68114,0.84344,0.78695,0.67804,0.54788,1.18252,0.8076,0.000509011,0.000509011,0.000509011
60,920.432,0.63483,1.09318,0.83222,0.69368,0.8642,0.79879,0.68121,0.56802,1.18616,0.80877,0.000505476,0.000505476,0.000505476
61,935.504,0.56588,1.04616,0.82405,0.69368,0.8642,0.79879,0.68121,0.56802,1.18616,0.80877,0.000501942,0.000501942,0.000501942
62,950.583,0.55622,1.02155,0.8324,0.68307,0.90018,0.83332,0.69879,0.56354,1.17251,0.81018,0.000498408,0.000498408,0.000498408
63,965.598,0.57149,1.0612,0.84254,0.64258,0.91856,0.84104,0.70731,0.55184,1.15905,0.80957,0.000494873,0.000494873,0.000494873
64,980.692,0.5198,1.04018,0.83132,0.61935,0.94024,0.843,0.7136,0.52698,1.12937,0.80862,0.000491339,0.000491339,0.000491339
65,995.817,0.54983,1.0471,0.83806,0.61935,0.94024,0.843,0.7136,0.52698,1.12937,0.80862,0.000487805,0.000487805,0.000487805
66,1010.8,0.53593,1.05289,0.82956,0.65936,0.89911,0.85616,0.72452,0.53917,1.0971,0.81107,0.000484271,0.000484271,0.000484271
67,1025.86,0.54017,1.0182,0.8189,0.70367,0.86177,0.84552,0.71771,0.54398,1.13166,0.81314,0.000480736,0.000480736,0.000480736
68,1040.79,0.53497,1.01774,0.83167,0.71067,0.90258,0.83156,0.70481,0.53266,1.13707,0.81233,0.000477202,0.000477202,0.000477202
69,1055.99,0.52852,0.98452,0.83014,0.71067,0.90258,0.83156,0.70481,0.53266,1.13707,0.81233,0.000473668,0.000473668,0.000473668
70,1071.14,0.55382,1.04749,0.84498,0.7034,0.90139,0.86389,0.73946,0.53827,1.06764,0.81054,0.000470133,0.000470133,0.000470133
71,1086.34,0.55982,1.01064,0.8252,0.69839,0.90239,0.8682,0.73188,0.54341,1.04608,0.80879,0.000466599,0.000466599,0.000466599
72,1101.61,0.56955,1.01352,0.84672,0.70503,0.87505,0.87263,0.74313,0.52204,1.08006,0.80899,0.000463065,0.000463065,0.000463065
73,1116.82,0.52172,1.00819,0.84594,0.70503,0.87505,0.87263,0.74313,0.52204,1.08006,0.80899,0.00045953,0.00045953,0.00045953
74,1132.11,0.53232,0.96375,0.82408,0.72189,0.89336,0.88497,0.75768,0.50931,1.10673,0.80894,0.000455996,0.000455996,0.000455996
75,1147.32,0.49153,0.94343,0.83179,0.83143,0.86166,0.90683,0.77818,0.51329,1.04729,0.81049,0.000452462,0.000452462,0.000452462
76,1162.53,0.50547,0.94146,0.82421,0.82869,0.87339,0.88712,0.75683,0.52095,0.98766,0.81253,0.000448928,0.000448928,0.000448928
77,1177.73,0.49133,0.94742,0.82436,0.82869,0.87339,0.88712,0.75683,0.52095,0.98766,0.81253,0.000445393,0.000445393,0.000445393
78,1192.99,0.4768,0.89108,0.81365,0.79873,0.89242,0.91343,0.77222,0.51895,0.96508,0.81155,0.000441859,0.000441859,0.000441859
79,1208.26,0.4982,0.89599,0.81122,0.8222,0.81762,0.90825,0.7608,0.53119,0.98865,0.81278,0.000438325,0.000438325,0.000438325
80,1223.45,0.50661,0.88152,0.82745,0.75003,0.84555,0.90061,0.74274,0.56047,1.04871,0.81427,0.00043479,0.00043479,0.00043479
81,1345.61,0.55844,0.9253,0.82113,0.75003,0.84555,0.90061,0.74274,0.56047,1.04871,0.81427,0.000431256,0.000431256,0.000431256
82,1361.41,0.55676,0.9613,0.83464,0.72679,0.90842,0.90129,0.73838,0.57957,1.1089,0.81591,0.000427722,0.000427722,0.000427722
83,1376.54,0.58363,0.89375,0.82441,0.72031,0.90261,0.90905,0.75444,0.56551,1.07635,0.81588,0.000424187,0.000424187,0.000424187
84,1391.69,0.48699,0.86041,0.82114,0.76176,0.9134,0.92687,0.78251,0.54203,1.01576,0.81496,0.000420653,0.000420653,0.000420653
85,1406.83,0.50862,0.82249,0.83383,0.76176,0.9134,0.92687,0.78251,0.54203,1.01576,0.81496,0.000417119,0.000417119,0.000417119
86,1421.96,0.53873,0.83716,0.83913,0.81185,0.89134,0.92221,0.79512,0.52296,0.94312,0.81334,0.000413584,0.000413584,0.000413584
87,1437.1,0.53912,0.86958,0.82953,0.80169,0.92321,0.93096,0.80402,0.52165,0.90546,0.81514,0.00041005,0.00041005,0.00041005
88,1452.26,0.48883,0.79595,0.82434,0.80888,0.93823,0.94874,0.82218,0.51654,0.88924,0.81637,0.000406516,0.000406516,0.000406516
89,1467.4,0.53645,0.90822,0.83239,0.80888,0.93823,0.94874,0.82218,0.51654,0.88924,0.81637,0.000402982,0.000402982,0.000402982
90,1482.62,0.50816,0.80249,0.82858,0.82148,0.89667,0.94832,0.8128,0.53223,0.93345,0.81567,0.000399447,0.000399447,0.000399447
91,1497.81,0.51484,0.82768,0.83768,0.85495,0.9242,0.94983,0.81015,0.53067,0.95187,0.81336,0.000395913,0.000395913,0.000395913
92,1512.94,0.49072,0.80914,0.81886,0.87645,0.92429,0.95115,0.81708,0.50935,0.8861,0.81043,0.000392379,0.000392379,0.000392379
93,1528.14,0.51627,0.85177,0.8226,0.87645,0.92429,0.95115,0.81708,0.50935,0.8861,0.81043,0.000388844,0.000388844,0.000388844
94,1543.33,0.51074,0.8157,0.83245,0.86085,0.92509,0.94802,0.81851,0.49667,0.82336,0.8104,0.00038531,0.00038531,0.00038531
95,1558.47,0.49269,0.71278,0.81985,0.85604,0.93002,0.94209,0.81808,0.50372,0.80572,0.81122,0.000381776,0.000381776,0.000381776
96,1573.63,0.5332,0.80761,0.81933,0.82875,0.92036,0.93269,0.80496,0.50597,0.81141,0.81161,0.000378242,0.000378242,0.000378242
97,1588.75,0.51723,0.76991,0.83237,0.82875,0.92036,0.93269,0.80496,0.50597,0.81141,0.81161,0.000374707,0.000374707,0.000374707
98,1603.91,0.50541,0.75916,0.83327,0.81224,0.92676,0.93262,0.81303,0.49812,0.81698,0.81087,0.000371173,0.000371173,0.000371173
99,1619.07,0.481,0.76996,0.83042,0.80146,0.93684,0.95414,0.8261,0.49875,0.78855,0.81066,0.000367639,0.000367639,0.000367639
100,1634.32,0.50083,0.72575,0.83629,0.85183,0.93834,0.95839,0.82495,0.50611,0.75606,0.80977,0.000364104,0.000364104,0.000364104
101,1649.48,0.49522,0.7289,0.81597,0.85183,0.93834,0.95839,0.82495,0.50611,0.75606,0.80977,0.00036057,0.00036057,0.00036057
102,1664.65,0.48579,0.71816,0.82037,0.9125,0.93417,0.96471,0.82921,0.50651,0.72872,0.80978,0.000357036,0.000357036,0.000357036
103,1679.85,0.49926,0.755,0.82763,0.92239,0.94627,0.96395,0.81823,0.50916,0.7196,0.81071,0.000353501,0.000353501,0.000353501
104,1695.07,0.53987,0.70679,0.85129,0.92086,0.95314,0.96458,0.82427,0.50188,0.70926,0.81248,0.000349967,0.000349967,0.000349967
105,1710.23,0.48905,0.712,0.8119,0.92086,0.95314,0.96458,0.82427,0.50188,0.70926,0.81248,0.000346433,0.000346433,0.000346433
106,1725.4,0.47936,0.72353,0.81103,0.92244,0.94798,0.96801,0.83158,0.4938,0.7011,0.81402,0.000342899,0.000342899,0.000342899
107,1740.62,0.47503,0.67883,0.82296,0.90744,0.93482,0.97136,0.84544,0.48559,0.69642,0.81242,0.000339364,0.000339364,0.000339364
108,1755.85,0.45821,0.67675,0.82336,0.942,0.90403,0.97429,0.84061,0.48853,0.68726,0.81075,0.00033583,0.00033583,0.00033583
109,1771.06,0.5378,0.69089,0.81675,0.942,0.90403,0.97429,0.84061,0.48853,0.68726,0.81075,0.000332296,0.000332296,0.000332296
110,1786.46,0.49659,0.68364,0.82927,0.91338,0.9186,0.97033,0.837,0.50648,0.68335,0.81224,0.000328761,0.000328761,0.000328761
111,1802.52,0.50406,0.71486,0.82032,0.91443,0.92379,0.9678,0.83247,0.50465,0.69094,0.81225,0.000325227,0.000325227,0.000325227
112,1818.9,0.45894,0.65107,0.81529,0.90862,0.93182,0.96556,0.83557,0.49033,0.69854,0.81303,0.000321693,0.000321693,0.000321693
113,1835.35,0.46602,0.64747,0.82067,0.90862,0.93182,0.96556,0.83557,0.49033,0.69854,0.81303,0.000318158,0.000318158,0.000318158
114,1850.75,0.47234,0.70704,0.82538,0.9154,0.91579,0.95937,0.82757,0.48535,0.70538,0.81403,0.000314624,0.000314624,0.000314624
115,1865.81,0.46353,0.70849,0.82869,0.91927,0.92028,0.95834,0.8271,0.48732,0.70604,0.81272,0.00031109,0.00031109,0.00031109
116,1880.9,0.45875,0.64406,0.82465,0.89967,0.94779,0.95854,0.8196,0.49101,0.68876,0.81145,0.000307555,0.000307555,0.000307555
117,1896.11,0.44999,0.64661,0.81895,0.89967,0.94779,0.95854,0.8196,0.49101,0.68876,0.81145,0.000304021,0.000304021,0.000304021
118,1911.16,0.49216,0.65418,0.82534,0.92696,0.94222,0.96331,0.82671,0.48819,0.65659,0.80986,0.000300487,0.000300487,0.000300487
119,1926.41,0.47703,0.68234,0.82927,0.94959,0.93296,0.97073,0.83763,0.47453,0.63852,0.80747,0.000296953,0.000296953,0.000296953
120,1941.75,0.46079,0.68802,0.81613,0.95043,0.94585,0.97481,0.84464,0.46513,0.62258,0.80624,0.000293418,0.000293418,0.000293418
121,1957.17,0.50946,0.68176,0.82635,0.95043,0.94585,0.97481,0.84464,0.46513,0.62258,0.80624,0.000289884,0.000289884,0.000289884
122,1973.23,0.47545,0.65459,0.82115,0.94473,0.9519,0.97609,0.84862,0.47214,0.61464,0.80618,0.00028635,0.00028635,0.00028635
123,1988.47,0.47927,0.65653,0.83107,0.93433,0.95196,0.97695,0.85131,0.47056,0.62028,0.80519,0.000282815,0.000282815,0.000282815
124,2003.71,0.49694,0.65897,0.83252,0.93896,0.9126,0.97291,0.84246,0.47625,0.63413,0.80534,0.000279281,0.000279281,0.000279281
125,2018.84,0.44069,0.62926,0.8107,0.93896,0.9126,0.97291,0.84246,0.47625,0.63413,0.80534,0.000275747,0.000275747,0.000275747
126,2033.95,0.47321,0.64935,0.81809,0.92081,0.91966,0.96496,0.82529,0.48755,0.657,0.80507,0.000272212,0.000272212,0.000272212
127,2049.04,0.5173,0.68539,0.83973,0.93022,0.91427,0.95551,0.81636,0.49204,0.68442,0.80577,0.000268678,0.000268678,0.000268678
128,2064.26,0.48274,0.6425,0.81191,0.92299,0.93294,0.95844,0.81519,0.48743,0.67927,0.80653,0.000265144,0.000265144,0.000265144
129,2079.44,0.46793,0.61523,0.82952,0.92299,0.93294,0.95844,0.81519,0.48743,0.67927,0.80653,0.00026161,0.00026161,0.00026161
