epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9499,1.0306,4.6295,1.16416,0.00115,0.02273,0.00071,0.00044,0.97251,4.67382,1.20998,1.428e-05,1.428e-05,1.428e-05
2,34.1797,1.0138,4.55007,1.11425,0.00145,0.02273,0.00146,0.0008,0.87975,4.56097,1.07161,3.55822e-05,3.55822e-05,3.55822e-05
3,49.3643,0.91425,4.39791,1.0257,0.00379,0.03409,0.00769,0.00309,0.89305,4.50277,0.97316,5.6743e-05,5.6743e-05,5.6743e-05
4,64.5371,0.86061,4.2209,0.97038,0.00621,0.05682,0.0206,0.01434,0.83015,4.44352,0.91163,7.77625e-05,7.77625e-05,7.77625e-05
5,79.8218,0.83182,3.98061,0.93379,0.00548,0.05682,0.02454,0.01579,0.73092,4.41246,0.86414,9.86405e-05,9.86405e-05,9.86405e-05
6,95.0853,0.91048,3.68259,0.9253,0.00574,0.06818,0.04313,0.02197,0.73979,4.37092,0.86261,0.000119377,0.000119377,0.000119377
7,110.333,0.96296,3.52236,0.92628,0.00573,0.05682,0.03957,0.02595,0.69354,4.31833,0.84491,0.000139973,0.000139973,0.000139973
8,125.511,0.90088,3.2625,0.92102,0.00548,0.05682,0.04443,0.03332,0.67222,4.27776,0.83794,0.000160427,0.000160427,0.000160427
9,140.762,0.83318,2.99947,0.90436,1,0.01973,0.05795,0.04245,0.70693,4.14234,0.84111,0.000180739,0.000180739,0.000180739
10,156.025,0.87221,2.78341,0.90128,1,0.02791,0.06966,0.05413,0.73058,4.0582,0.84283,0.00020091,0.00020091,0.00020091
11,171.244,0.77001,2.46774,0.88373,0.98703,0.04545,0.10081,0.08579,0.75861,3.86528,0.84503,0.00022094,0.00022094,0.00022094
12,186.442,0.80463,2.4305,0.87908,1,0.05496,0.1493,0.12612,0.77379,3.74791,0.84511,0.000240829,0.000240829,0.000240829
13,201.711,0.7619,2.18181,0.88083,0.9779,0.04545,0.16441,0.13697,0.73436,3.65088,0.83397,0.000260576,0.000260576,0.000260576
14,216.874,0.69882,2.01421,0.86833,0.03849,0.39773,0.17507,0.14743,0.74122,3.622,0.838,0.000280181,0.000280181,0.000280181
15,232.06,0.76618,2.06068,0.86692,0.04217,0.5,0.21653,0.17854,0.807,3.44298,0.84822,0.000299646,0.000299646,0.000299646
16,247.24,0.72869,1.87894,0.86155,0.04489,0.53409,0.23565,0.19382,0.78139,3.36552,0.84621,0.000318969,0.000318969,0.000318969
17,262.465,0.71825,1.80703,0.8747,0.04463,0.61364,0.29131,0.23926,0.7288,3.31896,0.84353,0.00033815,0.00033815,0.00033815
18,277.618,0.82156,1.89424,0.86675,0.05165,0.61364,0.30807,0.25205,0.75508,3.35716,0.85173,0.000357191,0.000357191,0.000357191
