epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9561,1.13489,4.60077,1.16722,0.00052,0.03409,0.00043,0.00028,0.98224,4.55509,1.20795,1.666e-05,1.666e-05,1.666e-05
2,36.3943,1.05516,4.53156,1.10681,0.00062,0.03409,0.00104,0.0007,0.91051,4.4769,1.03841,4.15126e-05,4.15126e-05,4.15126e-05
3,53.7288,1.0168,4.33291,1.04003,0.00137,0.05682,0.01456,0.01187,0.94814,4.40418,0.93547,6.62002e-05,6.62002e-05,6.62002e-05
4,70.9889,0.88224,4.07615,0.94391,0.00283,0.07955,0.02445,0.01602,0.85747,4.34784,0.8901,9.07229e-05,9.07229e-05,9.07229e-05
5,88.3267,0.8854,3.77842,0.93928,0.00385,0.06818,0.02208,0.01329,0.75781,4.30238,0.86478,0.000115081,0.000115081,0.000115081
6,105.587,0.84262,3.39531,0.91148,0.00377,0.05682,0.0228,0.01519,0.69721,4.25004,0.85095,0.000139273,0.000139273,0.000139273
7,122.886,0.7862,3.17876,0.88312,0.00398,0.05682,0.02792,0.01879,0.67454,4.16156,0.8397,0.000163301,0.000163301,0.000163301
8,140.196,0.77277,2.77529,0.86459,0.96315,0.01136,0.04129,0.02749,0.70753,4.09426,0.83745,0.000187164,0.000187164,0.000187164
9,157.662,0.79684,2.62784,0.90919,1,0.04039,0.09741,0.06236,0.83169,3.87942,0.85221,0.000210862,0.000210862,0.000210862
10,175.157,0.80686,2.42205,0.91082,1,0.07249,0.11184,0.07576,0.84156,3.7716,0.84648,0.000234395,0.000234395,0.000234395
11,192.736,0.81996,2.27449,0.88099,0.99701,0.09091,0.15702,0.12323,0.70558,3.63397,0.82738,0.000257764,0.000257764,0.000257764
12,210.316,0.74263,2.02751,0.86207,1,0.08188,0.17121,0.13937,0.71552,3.54979,0.83078,0.000280967,0.000280967,0.000280967
13,228.534,0.7706,2.08693,0.88336,0.98176,0.04545,0.1773,0.14661,0.796,3.45055,0.84101,0.000304005,0.000304005,0.000304005
14,246.127,0.76125,1.85635,0.86876,0.04396,0.39773,0.19166,0.16536,0.7748,3.42654,0.8407,0.000326878,0.000326878,0.000326878
15,263.727,0.76141,1.87392,0.87156,0.0663,0.47727,0.23587,0.19882,0.7272,3.33894,0.83054,0.000349587,0.000349587,0.000349587
16,281.338,0.65258,1.64455,0.8515,0.09205,0.5,0.23408,0.19796,0.7466,3.39969,0.83482,0.00037213,0.00037213,0.00037213
17,299.049,0.73874,1.5998,0.85818,0.11015,0.43182,0.21705,0.18546,0.77655,3.45028,0.85383,0.000394509,0.000394509,0.000394509
18,316.682,0.82299,1.73404,0.87199,0.11184,0.56818,0.27603,0.22851,0.72953,3.34639,0.847,0.000416722,0.000416722,0.000416722
19,334.47,0.72037,1.56791,0.85149,0.11506,0.72727,0.41866,0.33941,0.73173,3.24547,0.8449,0.000438771,0.000438771,0.000438771
20,352.224,0.72319,1.6072,0.88063,0.09721,0.68182,0.41526,0.33092,0.76104,3.26798,0.85068,0.000460655,0.000460655,0.000460655
21,370.016,0.7512,1.56569,0.87219,0.08477,0.59091,0.37405,0.30499,0.74205,3.32139,0.85399,0.000482374,0.000482374,0.000482374
22,388.083,0.72779,1.50226,0.85834,0.06375,0.69318,0.45706,0.37152,0.70104,3.24794,0.85084,0.000503928,0.000503928,0.000503928
23,405.921,0.70743,1.5301,0.86732,0.05436,0.86364,0.5414,0.43386,0.67283,3.03093,0.84783,0.000525316,0.000525316,0.000525316
24,423.741,0.64591,1.38577,0.85807,0.0514,0.95455,0.58294,0.45838,0.69902,2.79493,0.85124,0.00054654,0.00054654,0.00054654
25,441.552,0.67805,1.44688,0.86524,0.04583,0.95455,0.59493,0.47698,0.69631,2.68462,0.8532,0.0005676,0.0005676,0.0005676
26,459.53,0.67259,1.36311,0.85097,1,0.0565,0.56491,0.46492,0.64734,2.67366,0.84521,0.000588494,0.000588494,0.000588494
27,477.383,0.66846,1.36527,0.86066,1,0.05668,0.59123,0.48746,0.65561,2.65555,0.84513,0.000609223,0.000609223,0.000609223
28,495.397,0.73446,1.38562,0.86547,1,0.07554,0.63597,0.51346,0.66563,2.62234,0.84426,0.000629787,0.000629787,0.000629787
29,513.411,0.68044,1.34297,0.86181,1,0.07554,0.63597,0.51346,0.66563,2.62234,0.84426,0.000650186,0.000650186,0.000650186
30,531.343,0.70479,1.32413,0.86016,0.91784,0.13912,0.65915,0.53678,0.67033,2.47566,0.8435,0.000670421,0.000670421,0.000670421
31,549.334,0.64069,1.28516,0.84234,0.90725,0.22981,0.65389,0.53523,0.65501,2.32428,0.84629,0.00069049,0.00069049,0.00069049
32,567.248,0.63871,1.29277,0.8579,0.78791,0.26009,0.65416,0.53253,0.6572,2.25958,0.85397,0.000710395,0.000710395,0.000710395
33,585.354,0.65154,1.2707,0.8573,0.78791,0.26009,0.65416,0.53253,0.6572,2.25958,0.85397,0.000730134,0.000730134,0.000730134
34,603.407,0.6295,1.24026,0.83713,0.87063,0.26252,0.69276,0.56803,0.64589,2.26159,0.85831,0.000742286,0.000742286,0.000742286
35,621.522,0.6354,1.25709,0.85309,0.99663,0.18833,0.70465,0.56888,0.64326,2.44033,0.85617,0.000739537,0.000739537,0.000739537
36,639.62,0.60621,1.28308,0.85621,0.7905,0.45612,0.71922,0.58167,0.64436,2.06571,0.85259,0.000736788,0.000736788,0.000736788
37,657.651,0.62552,1.19997,0.85012,0.7905,0.45612,0.71922,0.58167,0.64436,2.06571,0.85259,0.00073404,0.00073404,0.00073404
38,675.745,0.64771,1.24137,0.85792,0.63238,0.68616,0.70701,0.56273,0.71568,1.81301,0.85474,0.000731291,0.000731291,0.000731291
39,693.79,0.60585,1.19241,0.84602,0.61421,0.72704,0.71507,0.58024,0.6864,1.72369,0.84607,0.000728542,0.000728542,0.000728542
40,711.966,0.57358,1.19014,0.84277,0.59876,0.70588,0.71634,0.581,0.6433,1.70661,0.83662,0.000725793,0.000725793,0.000725793
41,729.975,0.62919,1.20641,0.84571,0.59876,0.70588,0.71634,0.581,0.6433,1.70661,0.83662,0.000723044,0.000723044,0.000723044
42,748.066,0.61813,1.19183,0.84436,0.57379,0.67045,0.72335,0.57528,0.63431,1.68233,0.83544,0.000720295,0.000720295,0.000720295
43,766.225,0.58755,1.15958,0.83888,0.63141,0.85031,0.73146,0.59776,0.61527,1.55933,0.83824,0.000717546,0.000717546,0.000717546
44,784.405,0.59762,1.12889,0.83089,0.62724,0.83478,0.70294,0.58616,0.60925,1.51212,0.84324,0.000714797,0.000714797,0.000714797
45,802.453,0.58953,1.12615,0.85461,0.62724,0.83478,0.70294,0.58616,0.60925,1.51212,0.84324,0.000712048,0.000712048,0.000712048
46,820.664,0.61095,1.1681,0.8536,0.59587,0.79059,0.70397,0.57739,0.62694,1.45665,0.84223,0.000709299,0.000709299,0.000709299
47,838.828,0.58495,1.12337,0.84832,0.57171,0.81785,0.71048,0.58642,0.63458,1.39439,0.84296,0.000706551,0.000706551,0.000706551
48,856.938,0.60219,1.12552,0.85768,0.57094,0.7934,0.72843,0.59709,0.614,1.38681,0.8386,0.000703802,0.000703802,0.000703802
49,875.011,0.5881,1.1278,0.84761,0.57094,0.7934,0.72843,0.59709,0.614,1.38681,0.8386,0.000701053,0.000701053,0.000701053
50,893.115,0.61957,1.12658,0.84794,0.61057,0.77527,0.72198,0.58959,0.60099,1.48627,0.83575,0.000698304,0.000698304,0.000698304
51,911.315,0.53626,1.18024,0.8481,0.64003,0.92232,0.72663,0.59772,0.60579,1.43718,0.83545,0.000695555,0.000695555,0.000695555
52,929.379,0.53241,1.08778,0.8451,0.61582,0.9362,0.73293,0.61098,0.59063,1.27263,0.83434,0.000692806,0.000692806,0.000692806
53,947.488,0.60049,1.12447,0.8495,0.61582,0.9362,0.73293,0.61098,0.59063,1.27263,0.83434,0.000690057,0.000690057,0.000690057
54,965.742,0.57304,1.0689,0.83361,0.61432,0.94964,0.75585,0.64523,0.56355,1.22634,0.83391,0.000687308,0.000687308,0.000687308
55,983.936,0.596,1.04932,0.85044,0.64669,0.84318,0.75889,0.64407,0.54973,1.29116,0.83415,0.000684559,0.000684559,0.000684559
56,1002.09,0.56543,1.11885,0.82113,0.7043,0.8472,0.77252,0.64029,0.58295,1.36038,0.83889,0.00068181,0.00068181,0.00068181
57,1020.16,0.59191,1.09422,0.83718,0.7043,0.8472,0.77252,0.64029,0.58295,1.36038,0.83889,0.000679062,0.000679062,0.000679062
58,1038.23,0.55586,1.07,0.84211,0.64202,0.86172,0.78887,0.64613,0.59749,1.22417,0.8408,0.000676313,0.000676313,0.000676313
59,1056.42,0.60629,1.05622,0.84487,0.6564,0.92938,0.81116,0.65828,0.62261,1.08445,0.84087,0.000673564,0.000673564,0.000673564
60,1074.49,0.53815,1.03781,0.83391,0.62165,0.92779,0.80338,0.6569,0.61231,1.05913,0.84144,0.000670815,0.000670815,0.000670815
61,1092.61,0.55881,0.99888,0.84461,0.62165,0.92779,0.80338,0.6569,0.61231,1.05913,0.84144,0.000668066,0.000668066,0.000668066
62,1110.74,0.5739,1.0088,0.83348,0.65618,0.8528,0.77405,0.64232,0.56532,1.13012,0.84082,0.000665317,0.000665317,0.000665317
63,1128.75,0.55628,1.00489,0.83899,0.69946,0.82258,0.7729,0.65448,0.55687,1.1802,0.83947,0.000662568,0.000662568,0.000662568
64,1146.91,0.58857,1.04503,0.85894,0.7121,0.82751,0.81563,0.68169,0.57601,1.1451,0.83932,0.000659819,0.000659819,0.000659819
65,1165.02,0.53108,0.9368,0.83734,0.7121,0.82751,0.81563,0.68169,0.57601,1.1451,0.83932,0.00065707,0.00065707,0.00065707
