epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5601,1.17481,6.39192,1.20174,0.65683,0.04545,0.01476,0.00966,0.98042,5.63033,1.39538,1.666e-05,1.666e-05,1.666e-05
2,74.7413,1.0541,5.07901,1.08804,0.31037,0.05682,0.05448,0.04795,0.89819,5.91772,1.09147,4.15126e-05,4.15126e-05,4.15126e-05
3,112.398,0.94809,3.90633,1.00987,0.53519,0.17045,0.09909,0.06798,0.92801,11.6561,0.95757,6.62002e-05,6.62002e-05,6.62002e-05
4,151.047,0.78758,2.75116,0.90342,0.12618,0.53994,0.20887,0.14441,0.81863,12.2229,0.91194,9.07229e-05,9.07229e-05,9.07229e-05
5,190.159,0.78913,2.50105,0.91602,0.21914,0.50957,0.34111,0.25535,0.72701,6.1094,0.88218,0.000115081,0.000115081,0.000115081
6,231.845,0.71093,2.07622,0.89165,0.32473,0.53409,0.41665,0.31538,0.66808,4.45993,0.87646,0.000139273,0.000139273,0.000139273
7,274.327,0.68017,1.92982,0.87495,0.51308,0.65608,0.56797,0.46194,0.64042,3.16698,0.86724,0.000163301,0.000163301,0.000163301
8,313.609,0.64475,1.51792,0.84328,0.54113,0.69842,0.60555,0.49619,0.61299,2.7553,0.8613,0.000187164,0.000187164,0.000187164
9,350.991,0.6368,1.51527,0.86656,0.56645,0.72658,0.63492,0.52277,0.64275,2.19417,0.86359,0.000210862,0.000210862,0.000210862
10,387.874,0.63049,1.41592,0.874,0.51267,0.83402,0.64204,0.53081,0.64232,1.96852,0.85967,0.000234395,0.000234395,0.000234395
11,427.947,0.63261,1.30805,0.85536,0.54625,0.86458,0.63696,0.53975,0.58497,1.61654,0.85061,0.000257764,0.000257764,0.000257764
12,468.823,0.57353,1.12833,0.84403,0.52734,0.81793,0.60702,0.51464,0.59493,1.64181,0.85045,0.000280967,0.000280967,0.000280967
13,506.148,0.62468,1.26804,0.87097,0.52113,0.79285,0.58868,0.48322,0.63585,1.76712,0.85386,0.000304005,0.000304005,0.000304005
14,543.458,0.60714,1.13001,0.85176,0.55526,0.81558,0.61849,0.48582,0.69089,1.75057,0.86619,0.000326878,0.000326878,0.000326878
15,580.255,0.61425,1.11895,0.84603,0.5632,0.85924,0.67058,0.53409,0.61748,1.45251,0.85152,0.000349587,0.000349587,0.000349587
16,616.911,0.54389,0.96624,0.84357,0.62186,0.83909,0.69923,0.56649,0.59885,1.40459,0.85348,0.00037213,0.00037213,0.00037213
17,653.813,0.58793,0.97877,0.83973,0.63699,0.88401,0.80197,0.62341,0.62167,1.24219,0.85877,0.000394509,0.000394509,0.000394509
18,690.592,0.68789,1.0167,0.85388,0.68749,0.82179,0.81241,0.65764,0.59465,1.21731,0.84917,0.000416722,0.000416722,0.000416722
19,727.516,0.57566,0.89438,0.8386,0.62715,0.85243,0.80241,0.65711,0.57381,1.18732,0.84389,0.000438771,0.000438771,0.000438771
20,764.367,0.60259,0.98063,0.87269,0.69947,0.75432,0.78226,0.63813,0.57343,1.254,0.838,0.000460655,0.000460655,0.000460655
21,801.337,0.62177,0.94994,0.8562,0.66704,0.84258,0.79399,0.65415,0.58883,1.24917,0.8388,0.000482374,0.000482374,0.000482374
22,838.581,0.59353,0.86458,0.84672,0.68659,0.79545,0.78762,0.63447,0.61425,1.24416,0.84534,0.000503928,0.000503928,0.000503928
